a capella,a cappella,1
Abberation,Aberration,1
Addresse,Adresse,1
agressiv,aggressiv,1
Akkustik,Akustik,1
Amalgan,Amalgam,1
Amaturenbrett,Armaturenbrett,1
assozial,asozial,1
Atrappe,Attrappe,1
Besenreißer,Besenreiser,1
Billiard,Billard,1
bischen,bisschen,1
Bisquit,Biskuit,1
bombadieren,bombardieren,1
brilliant,brillant,1
Capuccino,Cappuccino,1
detailiert,detailliert,1
dilletantisch,dilettantisch,1
Diphterie,Diphtherie,1
Eigenbrödler,Eigenbrötler,1
einzelnd,einzeln,1
Entgeld,Entgelt,1
entgültig,endgültig,1
Extase,Ekstase,1
fröhnen,frönen,1
Gallerie,Galerie,1
Gallionsfigur,Galionsfigur,1
Gebahren,Gebaren,1
Gelantine,Gelatine,1
gesäht,gesät,1
gothisch,gotisch,1
Gradwanderung,Gratwanderung,1
Gries,Grieß,1
gröhlen,grölen,1
hälst,hältst,1
Imbus(schlüssel),Inbus(schlüssel),1
Imission,Immission,1
Ingredenzien,Ingredienzien,1
Kandarre,Kandare,1
kommisarisch,kommissarisch,1
Lapalie,Lappalie,1
Lilliputaner,Liliputaner,1
lizensieren,lizenzieren,1
Lybien,Libyen,1
maniriert,manieriert,1
Maschiene,Maschine,1
narzistisch,narzisstisch,1
nießen,niesen,1
Obulus,Obolus,1
orginal,original,1
Pappenstil,Pappenstiel,1
Pavillion,Pavillon,1
pieksen,piksen,1
Probst,Propst,1
projezieren,projizieren,1
Prophezeihung,Prophezeiung,1
Reflektion,Reflexion,1
Religiösität,Religiosität,1
Reperatur,Reparatur,1
Resource,Ressource,1
Rückrat,Rückgrat,1
Rhythmus,Rhythmus,1
Schärflein,Scherflein,1
Schlawittchen,Schlafittchen,1
schmiergeln,schmirgeln,1
seelig,selig,1
seperat,separat,1
Seriösität,Seriosität,1
skurill,skurril,1
Spirenzchen,Sperenzchen,1
sponsorn,sponsern,1
Standart,Standard,1
Stehgreif,Stegreif,1
subsummieren,subsumieren,1
Sylvester,Silvester,1
Symetrie,Symmetrie,1
sympatisch,sympathisch,1
Syphon,Siphon,1
Terasse,Terrasse,1
Thermopen,Thermopane,1
tollerant,tolerant,1
totlangweilig,todlangweilig,1
totschick,todschick,1
Verließ,Verlies,1
Verwandschaft,Verwandtschaft,1
vorraus,voraus,1
Wehrmutstropfen,Wermutstropfen,1
wiederspiegeln,widerspiegeln,1
Wiedersacher,Widersacher,1
Hart,Art,0
Halt,Wald,0
Wand,Hand,0
Ort,Lord,0
Heer,Er,0
Hund,Und,0
Wein,Fein,0
Hier,Ihr,0
Hohn,Lohn,0
Hang,Lang,0
Pass,lass,0
Hahn,Bahn,0
Art,Bart,0
Wald,Bald,0
Hand,Stand,0
Lord,Cord,0
Er,Teer,0
Und,Fund,0
Fein,Schein,0
Ihr,Zier,0
Lohn,Sohn,0
Lang,Tang,0
lass,Nass,0
Bahn,Schwan,0
Bart,Start,0
Bald,Kalt,0
Stand,Rand,0
Cord,Mord,0
Teer,Wer,0
Fund,Schund,0
Schein,Kein,0
Zier,Vier,0
Sohn,Ton,0
Tang,Fang,0
Nass,Bass,0
Schwan,Kahn,0
Start,Fahrt,0
Kalt,Alt,0
Rand,Sand,0
Mord,Fort,0
Wer,Fair,0
Schund,wund,0
Kein,Sein,0
Vier,Stier,0
Ton,Schon,0
Fang,Bang,0
Bass,Was,0
Kahn,Mahn,0
Fahrt,Zart,0
Alt,Schallt,0
Sand,Land,0
Fort,dort,0
Fair,Leer,0
wund,Rund,0
Sein,Bein,0
Stier,Bier,0
Schon,Mohn,0
Bang,Rang,0
Was,as,0
Mahn,Lahn,0
